Etapa,Categoria,Setor,Pergunta,Objetivo,Quando Usar
S - Situação,Processo Atual,B2B SaaS,"Qual ferramenta vocês usam hoje para gerenciar vendas?",Entender stack tecnológico atual,Início da discovery
S - Situação,Processo Atual,B2B SaaS,"Quantas pessoas da equipe usam essa ferramenta diariamente?",Dimensionar escala de uso,Após entender ferramenta atual
S - Situação,Processo Atual,B2B SaaS,"Como funciona o processo de onboarding de novos vendedores?",Mapear processo de treinamento,Ao discutir equipe
S - Situação,Estrutura,B2B SaaS,"Qual é a estrutura da sua equipe comercial? (SDR/Closers/CS)",Entender organização comercial,Início - contexto geral
S - Situação,Estrutura,B2B SaaS,"Quantos deals cada vendedor fecha por mês em média?",Estabelecer baseline de performance,Após mapear estrutura
S - Situação,Métricas,B2B SaaS,"Qual seu ticket médio atual?",Quantificar tamanho de venda,Entender modelo de negócio
S - Situação,Métricas,B2B SaaS,"Qual sua taxa de conversão atual de lead para cliente?",Estabelecer benchmark de conversão,Ao discutir funil
S - Situação,Métricas,B2B SaaS,"Quanto tempo leva seu ciclo de vendas em média?",Dimensionar complexidade da venda,Mapear processo comercial
S - Situação,Processo Atual,E-commerce,"Qual plataforma você usa para seu e-commerce?",Entender infraestrutura técnica,Início da conversa
S - Situação,Processo Atual,E-commerce,"Quantos pedidos você processa por mês?",Dimensionar volume de operação,Após entender plataforma
S - Situação,Processo Atual,E-commerce,"Como você gerencia seu estoque hoje?",Mapear gestão de inventário,Ao discutir operação
S - Situação,Métricas,E-commerce,"Qual seu ticket médio por pedido?",Quantificar valor transacional,Entender modelo de receita
S - Situação,Métricas,E-commerce,"Qual sua taxa de abandono de carrinho?",Identificar perdas no funil,Ao mapear conversão
S - Situação,Métricas,E-commerce,"Quanto você gasta em aquisição por cliente (CAC)?",Entender custo de aquisição,Discussão de marketing/vendas
S - Situação,Estrutura,E-commerce,"Quantas pessoas cuidam do atendimento ao cliente?",Dimensionar operação de CS,Mapear equipe
S - Situação,Estrutura,E-commerce,"Quem cuida das estratégias de marketing digital?",Entender responsabilidades,Ao discutir crescimento
S - Situação,Processo Atual,Consultoria,"Como você captura leads atualmente?",Mapear geração de demanda,Início - entender origem clientes
S - Situação,Processo Atual,Consultoria,"Quantos projetos você está tocando simultaneamente agora?",Dimensionar capacidade atual,Entender carga de trabalho
S - Situação,Processo Atual,Consultoria,"Como você gerencia o tempo dedicado a cada cliente?",Mapear gestão de tempo,Ao discutir projetos
